V1,V2,V3
t,2,6
t,2,48
f,2,272
o,2,289
l,2,361
t,2,400
f,2,572
t,2,780
l,2,848
t,2,908
o,2,1056
l,2,1240
l,2,1308
t,2,1442
f,2,1537
f,2,1556
f,2,1589
t,2,1624
f,2,1700
f,2,1832
t,2,1909
t,3,328
t,3,512
t,3,1263
l,3,1326
t,3,1663
f,3,1998
f,4,242
t,4,879
t,4,1880
t,5,669
l,7,464
t,7,795
t,8,757
l,8,1342
l,8,1395
f,9,1025
l,10,1412
f,10,1946
t,11,304
t,11,992
t,12,21
t,12,170
t,12,485
l,12,1371
t,12,1466
t,12,1762
l,13,439
l,14,85
l,14,1729
t,14,1859
t,15,1797
l,16,603
t,16,871
f,16,1099
l,16,1359
l,17,1320
f,17,1630
f,18,1219
o,18,1543
l,18,1746
l,19,365
l,19,420
l,19,466
t,19,525
t,19,1435
l,20,399
t,20,817
t,20,1296
f,20,1611
l,21,1051
l,21,1779
o,22,275
l,22,974
t,22,1847
o,23,943
t,24,177
f,24,223
f,24,294
t,24,845
t,24,883
l,24,1237
l,24,1252
l,24,1508
f,26,109
f,26,201
l,26,616
t,26,656
t,28,683
l,28,1381
f,29,576
t,29,1876
o,30,1676
o,30,1708
l,30,1821
t,31,1273
l,31,1398
t,31,1797
l,32,435
t,32,545
t,32,1923
t,33,1067
o,33,1120
t,33,1318
f,34,1834
t,35,1343
t,35,1430
l,35,1474
t,35,1593
f,36,264
t,36,321
t,36,409
f,36,1644
o,37,932
t,37,1360
l,37,1772
f,38,1573
t,39,692
t,39,1728
t,40,909
f,40,1512
l,41,781
t,42,11
t,42,747
f,42,1544
t,43,460
t,44,35
o,44,146
t,44,677
t,44,1295
o,45,198
t,46,798
t,46,960
t,46,1379
t,46,1938
o,46,1966
t,47,485
t,47,721
t,47,838
l,47,1453
f,47,1661
t,48,223
l,48,444
l,48,1421
t,49,80
l,49,824
l,49,987
l,50,167
l,50,625
f,50,1333
t,50,1405
f,50,1640
t,50,1884
t,51,347
t,52,246
t,53,1255
t,54,1275
f,54,1611
o,54,1687
t,55,532
t,55,1364
f,55,1856
l,56,183
t,56,292
t,56,876
o,56,1132
l,56,1441
o,56,1700
l,56,1800
t,56,1918
l,57,769
t,58,60
t,59,268
t,59,652
t,59,1310
t,59,1388
l,59,1720
t,60,1892
o,61,157
t,61,686
t,61,894
l,61,1084
t,61,1474
t,61,1986
l,62,1069
o,62,1816
t,63,368
l,63,1005
t,63,1499
t,64,548
t,64,589
t,64,637
t,64,708
t,65,412
t,66,2
t,66,17
l,66,453
t,66,619
l,66,795
l,66,1284
t,66,1787
f,66,1875
f,68,1112
f,68,1234
t,70,315
t,70,386
t,70,561
l,70,1269
l,70,1407
o,71,176
t,71,423
l,71,1450
t,71,1935
t,72,853
f,72,1655
l,72,1753
l,73,673
t,74,470
t,74,1518
o,77,1016
t,78,964
t,78,1328
l,79,1126
t,80,727
t,80,822
l,80,1351
l,80,1438
l,81,1301
t,81,1316
t,82,459
l,82,1418
t,83,334
t,83,492
t,83,658
t,83,949
o,83,1630
t,83,1881
f,84,527
f,84,1076
